section,category,label,value_cad,rate_or_apr,payment_amount,payment_frequency,due_or_renewal_date,months_observed,confidence,notes
ACCOUNT,Chequing,Chequing A,876.98,,,,,18,VERIFIED_TD,Available 876.98; no overdraft limit shown
ACCOUNT,Chequing,Chequing B,-517.72,,,,,18,VERIFIED_TD,Available 82.28; overdraft limit 600.00; NEGATIVE
ACCOUNT,Savings,Savings,90.58,,,,,18,VERIFIED_TD,Receives 15.00/month; drawn down periodically
ACCOUNT,Credit Card,Credit Card,1799.97,24.99% purchases / 27.99% cash - PENALTY,94.03,Monthly,2026-08-17,18,VERIFIED_TD,Limit 2000; available 200; utilization 90%; rate from decrypted statement PDF
CARD,Penalty rate,Current purchase APR,,24.99%,,,,,VERIFIED_TD,Penalty rate currently applied
CARD,Penalty rate,Current cash advance APR,,27.99%,,,,,VERIFIED_TD,
CARD,Penalty rate,Normal rate if restored,,17.20% (TD Prime +12.75%),,,,,CALCULATED,TD Prime 4.45% as of 2026-08-09
CARD,Penalty rate,Rate reduction available,,7.79 percentage points,,,,,CALCULATED,HIGHEST return-per-dollar action in this review
CARD,Penalty rate,Restoration condition,,,94.03,12 consecutive on-time minimums,,,VERIFIED_TD,Last month minimum NOT received as of 2026-07-23
CARD,History,Penalty trigger,,,,,2026-02-23,,VERIFIED_TD,Two consecutive missed minimums Dec 2025 and Jan 2026
CARD,History,Missed minimums in 12 months,4,,,,,12,VERIFIED_TD,Dec 2025 Jan 2026 Apr 2026 Jul 2026
CARD,History,Months over the 2000 limit,4,,,,,4,VERIFIED_TD,Oct 2025 to Jan 2026; peak balance 2384.27
CARD,History,Peak balance,2384.27,,,,,1,VERIFIED_TD,Dec 2025 - 384.27 over limit
CARD,History,Position in 12-period count,0,,,,,,ESTIMATE,Reset by the July 2026 miss; restarts Aug 2026 statement
CARD,History,Earliest rate restoration,,17.20%,,,2027-08,,CALCULATED,Only if every minimum from Aug 2026 lands on time
CARD,History,Net balance change Sep2025-Jul2026,-390.58,,,,,11,VERIFIED_TD,From 2290.55 to 1899.97; card is dormant with no purchases
CARD,Saving,Annual interest at penalty rate,450.00,24.99%,,,,12,CALCULATED,
CARD,Saving,Annual interest at normal rate,310.00,17.20%,,,,12,CALCULATED,
CARD,Saving,Annual saving from restoration,140.00,7.79 points,,,,12,CALCULATED,Real value is payment history plus 2000 restored credit
COVERAGE,Transaction history,Credit card statements,11,,,,,12,COMPLETE,Sep 2025 to Jul 2026; Aug 2025 not retrieved; PDFs decrypted locally
CARD,Projection,Estimated payoff at minimums only,1899.97,24.99%,94.03,Monthly,,182,VERIFIED_TD,15 years 2 months per TD statement
CARD,Statement,Jun24-Jul23 payments,0.00,,,,,1,VERIFIED_TD,No payment received in the cycle
CARD,Statement,Jun24-Jul23 purchases,0.00,,,,,1,VERIFIED_TD,Card is dormant - no spending on it
