"json_pointer","value_type","value","runtime_home","feeding_status","consumer_path","master_plan_effect"
"/meta/asOf","string","2026-08-09","data.json","stored/rendered but not master-plan input","publication metadata","no"
"/meta/coverage","string","TD (15 accounts) · Triangle Mastercard · MBNA · PayPal ×2 · Wise ×2","data.json","stored/rendered but not master-plan input","publication metadata","no"
"/meta/transactions","number","4762","data.json","stored/rendered but not master-plan input","publication metadata","no"
"/meta/statements","number","48","data.json","stored/rendered but not master-plan input","publication metadata","no"
"/meta/disclaimer","string","Financial education and planning support. Not professional financial, tax, legal, mortgage or investment advice.","data.json","stored/rendered but not master-plan input","publication metadata","no"
"/plan/windowDays","number","91","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/defaults/targetBuffer","number","500","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/defaults/extraDebtMonthly","number","0","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/defaults/scenario","string","expected","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/amount","number","79.84","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/0/label","string","Chequing A — payroll and fixed costs","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/0/value","number","506.98","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/0/class","string","spendable","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/1/label","string","Chequing B — daily spending","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/1/value","number","-517.72","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/1/class","string","spendable","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/1/note","string","Overdrawn; $82.28 of its $600 overdraft still available","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/2/label","string","Savings","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/2/value","number","90.58","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/breakdown/2/class","string","spendable","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/0/label","string","DEBT&PAYMENTS — Amanda's account","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/0/value","number","2691.85","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/0/class","string","operational","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/0/note","string","Her Tennis BC pay lands here. Coaches are paid out of it first; only what is left is transferred to the household. Not spendable household cash.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/1/label","string","SAVINGS-DONT TOUCH — staging","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/1/value","number","74.2","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/1/class","string","staging","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/1/note","string","On her profile. Money passes through to the HELOC and cards within days; it has never held a balance.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/2/label","string","Wise — two US spending accounts","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/2/value","number","205.92","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/2/class","string","other-liquid","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/heldElsewhere/2/note","string","US-dollar holiday accounts.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/startingCash/note","string","The household spending accounts only — Chequing A, Chequing B and Savings, the three the mortgage, bills and card minimums are actually paid from. Amanda's DEBT&PAYMENTS account is deliberately excluded: her Tennis BC pay lands there and is not household money until she has paid her coaches and moved the remainder across (owner-stated). Wise, the silver and the RESP are excluded too.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/id","string","payroll","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
