pattern,category,type,notes
OPENAI,Subscriptions,discretionary,
CHATGPT,Subscriptions,discretionary,
CALENDLY,Subscriptions,discretionary,
CANVA,Subscriptions,discretionary,
MAILCHIMP,Subscriptions,discretionary,
AICHATAPP,Subscriptions,discretionary,
AMAZONCHANNELS,Subscriptions,discretionary,
NETFLIX,Subscriptions,discretionary,
SPOTIFY,Subscriptions,discretionary,
GOOGLEAMAZONM,Subscriptions,discretionary,
APPLECOM,Subscriptions,discretionary,
ITUNES,Subscriptions,discretionary,
PRIMEVIDEO,Subscriptions,discretionary,
FELIXHEALTH,Health,essential,
SHOPPERSDRUG,Health,essential,
PHARMA,Health,essential,
DENTAL,Health,essential,
MEDICAL,Health,essential,
LIFELABS,Health,essential,
KOZASKIN,Health,essential,
CLINIC,Health,essential,
PHYSIO,Health,essential,
OPTICAL,Health,essential,
CHIRO,Health,essential,
BELLMOBILITY,Telecom,essential,
TELUS,Telecom,essential,
ROGERS,Telecom,essential,
SHAWCABLE,Telecom,essential,
FIDO,Telecom,essential,
UBEREATS,Restaurants,discretionary,
SKIPTHEDISHES,Restaurants,discretionary,
DOORDASH,Restaurants,discretionary,
STARBUCKS,Restaurants,discretionary,
TIMHORTON,Restaurants,discretionary,
OLIVEGARDEN,Restaurants,discretionary,
CHEESECAKE,Restaurants,discretionary,
WHITESPOT,Restaurants,discretionary,
INNOUT,Restaurants,discretionary,
BREWING,Restaurants,discretionary,
PASTINI,Restaurants,discretionary,
ROSEMARYBROWN,Restaurants,discretionary,
BOURBONST,Restaurants,discretionary,
CHACHIS,Restaurants,discretionary,
JOEYCHINOO,Restaurants,discretionary,
PICNICBASKET,Restaurants,discretionary,
DUTCHBROS,Restaurants,discretionary,
KONAICE,Restaurants,discretionary,
CANDYWORLD,Restaurants,discretionary,
MCDONALD,Restaurants,discretionary,
SUBWAY,Restaurants,discretionary,
PIZZA,Restaurants,discretionary,
CAFE,Restaurants,discretionary,
RESTAURANT,Restaurants,discretionary,
GRILL,Restaurants,discretionary,
SUSHI,Restaurants,discretionary,
BURGER,Restaurants,discretionary,
TST,Restaurants,discretionary,
SQCHACHI,Restaurants,discretionary,
MRMIKES,Restaurants,discretionary,
STEAKHOUSE,Restaurants,discretionary,
IRONBUTCHER,Restaurants,discretionary,
BAKERY,Restaurants,discretionary,
DELI,Restaurants,discretionary,
BISTRO,Restaurants,discretionary,
TAVERN,Restaurants,discretionary,
PUB,Restaurants,discretionary,
INSTACART,Groceries,essential,
SAVEONFOODS,Groceries,essential,
REALCDNSUPERSTORE,Groceries,essential,
COSTCO,Groceries,essential,
WALMART,Groceries,essential,
WALMARTCA,Groceries,essential,
FREDMEYER,Groceries,essential,
SAFEWAY,Groceries,essential,
WHOLEFOODS,Groceries,essential,
SUPERSTORE,Groceries,essential,
NOFRILLS,Groceries,essential,
SAVEON,Groceries,essential,
TRADERJOE,Groceries,essential,
MARKET,Groceries,essential,
INN,Travel,discretionary,
HOTEL,Travel,discretionary,
SUITES,Travel,discretionary,
DOUBLETREE,Travel,discretionary,
BESTWESTERN,Travel,discretionary,
SPRINGHILL,Travel,discretionary,
FAIRFIELD,Travel,discretionary,
SONESTA,Travel,discretionary,
HILLTOP,Travel,discretionary,
EXPEDIA,Travel,discretionary,
AIRCAN,Travel,discretionary,
CAMPGROUND,Travel,discretionary,
NKMIP,Travel,discretionary,
MARRIOTT,Travel,discretionary,
HILTON,Travel,discretionary,
AIRBNB,Travel,discretionary,
WESTJET,Travel,discretionary,
COMPASSHOTEL,Travel,discretionary,
SIXT,Travel,discretionary,
ENTERPRISERENT,Travel,discretionary,
HERTZ,Travel,discretionary,
AVIS,Travel,discretionary,
BUDGETRENT,Travel,discretionary,
CHEVRON,Fuel & transport,essential,
ARCO,Fuel & transport,essential,
SHELL,Fuel & transport,essential,
ESSO,Fuel & transport,essential,
PETROCAN,Fuel & transport,essential,
GASSTATION,Fuel & transport,essential,
PARKMOBILE,Fuel & transport,essential,
PARKING,Fuel & transport,essential,
WATERFRONTLOTS,Fuel & transport,essential,
CITYOFSANTACRUZ,Fuel & transport,essential,
UBERCANADA,Fuel & transport,essential,
UBER,Fuel & transport,essential,
LYFT,Fuel & transport,essential,
TRANSLINK,Fuel & transport,essential,
BCFERRIES,Fuel & transport,essential,
MINORLA,Sport & fitness,discretionary,
LACROSSE,Sport & fitness,discretionary,
STARFIRESPORTS,Sport & fitness,discretionary,
SPORTCHEK,Sport & fitness,discretionary,
DICKSSPORTING,Sport & fitness,discretionary,
RACQUETGUYS,Sport & fitness,discretionary,
SPORTSPLEX,Sport & fitness,discretionary,
THEPLEX,Sport & fitness,discretionary,
BOXLACROSSE,Sport & fitness,discretionary,
SILVERCREEKSPOR,Sport & fitness,discretionary,
FEVOINC,Sport & fitness,discretionary,
TENNIS,Sport & fitness,discretionary,
MVPATHLETIC,Sport & fitness,discretionary,
CITYSIDELAX,Sport & fitness,discretionary,
NAMASTAY,Sport & fitness,discretionary,
JDSPORTS,Sport & fitness,discretionary,
ADIDAS,Sport & fitness,discretionary,
GOLF,Sport & fitness,discretionary,
SKIHILL,Sport & fitness,discretionary,
BOARDWALK,Entertainment,discretionary,
SEASIDE,Entertainment,discretionary,
